,gold,silver,platinum,palladium,gold_usd,silver_usd,platinum_usd,palladium_usd
36,4722.48,65.82,2241.28,5563.14,64.33,0.9,30.53,75.78
37,4716.38,64.9,2228.08,5517.61,64.25,0.88,30.35,75.16
38,4690.71,65.15,2220.06,5646.63,63.9,0.89,30.24,76.92
40,4683.5,64.82,2187.53,5518.39,63.8,0.88,29.8,75.17
41,4692.8,65.27,2215.26,5566.05,63.93,0.89,30.18,75.82
43,4703.11,68.34,2247.52,5377.48,64.07,0.93,30.62,73.25
44,4644.5,64.9,2206.75,5163.32,63.27,0.88,30.06,70.34
46,4689.71,65.9,2256.81,5282.82,63.88,0.9,30.74,71.96
48,4612.67,63.47,2208.77,5188.94,62.83,0.86,30.09,70.68
49,4659.72,64.33,2215.55,5191.95,63.48,0.88,30.18,70.73
50,4604.75,63.97,2172.72,5193.56,62.73,0.87,29.6,70.75
51,4572.94,63.84,2208.14,5146.79,62.29,0.87,30.08,70.11
53,4733.95,66.87,2294.79,5229.38,64.49,0.91,31.26,71.24
54,4574.27,63.14,2240.39,5109.5,62.31,0.86,30.52,69.6
55,4586.18,62.86,2224.47,5060.97,62.47,0.86,30.3,68.94
56,4569.73,62.12,2224.52,5076.16,62.25,0.85,30.3,69.15
57,4548.31,60.77,2208.58,5015.22,61.96,0.83,30.09,68.32
58,4695.8,66.51,2239.01,5127.13,63.97,0.91,30.5,69.84
59,4815.71,67.05,2305.51,5194.5,65.6,0.91,31.41,70.76
60,4880.61,67.07,2305.95,5170.62,66.48,0.91,31.41,70.43
61,4811.98,65.48,2294.27,5213.18,65.55,0.89,31.25,71.01
62,4793.21,63.48,2245.29,5074.88,65.29,0.86,30.59,69.13
63,4653.01,57.4,2177.58,4954.4,63.38,0.78,29.66,67.49
65,4661.68,56.82,2143.52,4943.31,63.5,0.77,29.2,67.34
66,4604.62,54.63,2141.68,4917.85,62.72,0.74,29.17,66.99
67,4538.78,56.52,2194.67,5271.85,61.83,0.77,29.9,71.81
68,4466.49,54.44,2141.16,5274.28,60.84,0.74,29.17,71.85
69,4466.19,56.1,2165.72,5206.01,60.84,0.76,29.5,70.92
71,4294.6,52.16,2117.24,4918.94,58.5,0.71,28.84,67.01
72,4212.67,50.63,1998.23,4799.85,57.39,0.69,27.22,65.38
73,4159.87,46.9,1943.95,4750.36,56.67,0.64,26.48,64.71
74,4188.41,44.98,1948.1,4689.78,57.06,0.61,26.54,63.88
75,4156.86,44.18,1902.16,4569.81,56.63,0.6,25.91,62.25
76,4132.77,44.07,1893.94,4525.29,56.3,0.6,25.8,61.64
77,4118.45,44.0,1896.13,4497.9,56.1,0.6,25.83,61.27
78,4112.12,43.21,1882.04,4534.73,56.02,0.59,25.64,61.77
79,4112.58,43.43,1906.11,4510.52,56.02,0.59,25.97,61.44
80,4135.33,42.98,1928.26,4456.51,56.33,0.59,26.27,60.71
81,4130.29,42.92,1955.25,4455.14,56.26,0.58,26.63,60.69
82,4121.14,42.34,1923.89,4408.92,56.14,0.58,26.21,60.06
83,4119.83,41.81,1907.35,4462.09,56.12,0.57,25.98,60.78
84,4069.87,41.87,1878.51,4403.83,55.44,0.57,25.59,59.99
85,4022.46,40.84,1840.5,4329.25,54.79,0.56,25.07,58.97
86,4017.25,40.64,1863.69,4319.14,54.72,0.55,25.39,58.84
87,4047.99,41.26,1868.41,4382.27,55.14,0.56,25.45,59.7
88,4010.17,40.41,1834.44,4334.71,54.63,0.55,24.99,59.05
89,3978.0,40.27,1826.18,4216.85,54.19,0.55,24.88,57.44
90,3916.32,39.63,1782.47,4102.79,53.35,0.54,24.28,55.89
91,3927.51,39.15,1802.34,4176.42,53.5,0.53,24.55,56.89
92,3929.94,39.52,1828.09,4293.57,53.53,0.54,24.9,58.49
93,3887.67,39.42,1825.87,4271.43,52.96,0.54,24.87,58.19
94,3899.24,39.9,1807.26,4284.71,53.12,0.54,24.62,58.37
95,3866.43,39.2,1800.63,4247.69,52.67,0.53,24.53,57.86
96,3878.14,39.43,1828.67,4326.57,52.83,0.54,24.91,58.94
97,3836.28,39.03,1822.86,4309.2,52.26,0.53,24.83,58.7
98,3875.98,39.04,1861.35,4408.93,52.8,0.53,25.36,60.06
99,3871.06,38.67,1821.92,4304.7,52.73,0.53,24.82,58.64
100,3848.83,39.72,1833.41,4282.41,52.43,0.54,24.97,58.34
101,3789.36,39.08,1850.94,4246.8,51.62,0.53,25.21,57.85
102,3770.05,38.93,1817.13,4345.22,51.36,0.53,24.75,59.19
103,3716.12,38.72,1827.31,4282.77,50.62,0.53,24.89,58.34
104,3772.23,38.79,1842.48,4247.64,51.39,0.53,25.1,57.86
105,3786.42,39.39,1848.33,4326.83,51.58,0.54,25.18,58.94
106,3773.95,39.24,1819.3,4288.98,51.41,0.53,24.78,58.43
107,3859.62,40.52,1876.31,4333.69,52.58,0.55,25.56,59.03
108,3888.16,40.7,1873.7,4336.86,52.96,0.55,25.52,59.08
109,3925.38,40.01,1910.77,4369.75,53.47,0.55,26.03,59.53
111,3895.83,39.27,1898.62,4489.52,53.07,0.53,25.86,61.16
112,3940.32,39.57,1914.41,4476.11,53.68,0.54,26.08,60.97
114,4003.7,39.29,1915.82,4575.79,54.54,0.54,26.1,62.33
115,3951.23,39.23,1922.26,4647.17,53.82,0.53,26.19,63.3
116,4070.13,40.63,1976.86,4809.59,55.44,0.55,26.93,65.52
117,4038.71,39.85,1875.92,4633.95,55.02,0.54,25.55,63.12
118,4122.31,40.71,1914.62,4505.0,56.15,0.55,26.08,61.37
120,4079.71,36.91,1818.33,4302.18,55.57,0.5,24.77,58.6
121,4021.35,36.81,1797.94,4341.08,54.78,0.5,24.49,59.13
122,4021.69,36.56,1810.82,4403.1,54.78,0.5,24.67,59.98
124,4023.9,35.7,1794.33,4324.99,54.81,0.49,24.44,58.92
125,4040.41,35.85,1795.58,4221.39,55.04,0.49,24.46,57.5
126,4014.11,35.86,1819.12,4655.36,54.68,0.49,24.78,63.42
127,4041.8,35.93,1847.95,4638.83,55.06,0.49,25.17,63.19
